header,body
"היו""ר רוני בר-און","כל 120 חברי הכנסת יכולים לשבת פה בכל הישיבות. מי שיצביע זה מי שאני אקרא את שמו בפתח הדיון הבא, נקודה. אני אעשה רשימה של 21 חברים בעניין של חזן ורשימה של 21 חברים בעניין גורולובסקי, ומצדי יכולים להיות פה 120 חברי כנסת, כולל חברי כנסת לשעבר."
רשף חן,"בישיבה הקודמת אנחנו קיבלנו חוות דעת משפטית שהגדירה בצורה מאוד יפה, עם תקדימים, את גדר הסמכויות של הוועדה."
"היו""ר רוני בר-און",לא הבנתי. חוות דעת משפטית של מי?
רשף חן,"חוות דעת של היועצת המשפטית של הכנסת, שהגדירה את סמכויות הוועדה. אני מבקש לחזור על העניין הזה, עם דגש מיוחד על ההבחנה בין החסינות המהותית לחסינות הדיונית."
"היו""ר רוני בר-און",מתי אתה מבקש לחזור על זה?
רשף חן,לקראת הישיבה הבאה.
"היו""ר רוני בר-און",חוות הדעת - צריך לעדכן אותה?
רשף חן,"נדמה לי. קודם כל, אני לא יודע, אבל נדמה לי שבמקרה הזה עולה בצורה הרבה יותר- - -"
"היו""ר רוני בר-און","למה אתה גורר את הדיון לדיון מהותי, כשאין פה אנשים? אנשים לא מיוצגים."
רשף חן,אני לא גורר את הדיון לדיון מהותי.
"היו""ר רוני בר-און",הדיון בעניין הזה - יגיע זמנו כאשר הדיון יהיה דיון מהותי. תודה רבה.
רשף חן,אני לא גורר את הדיון לדיון מהותי. אני מבקש חוות דעת על גדר הסמכויות של הוועדה הזאת בהקשר של ההבחנה הזאת.
"היו""ר רוני בר-און",זמנה של הבקשה יגיע .
רשף חן,אני מבקש אותה מראש.
"היו""ר רוני בר-און","תודה רבה, שמעתי אותך. תודה רבה."
רשף חן,אני לא מבין את ההערה שלך.
"היו""ר רוני בר-און",מאה אחוז. תודה רבה.
אליעזר כהן,אני באתי להודיע שאני מחליף את חבר הכנסת יורי שטרן לנושא הזה בוועדה.
"היו""ר רוני בר-און",בשני הדיונים.
אליעזר כהן,בשני הדיונים.
"היו""ר רוני בר-און","נא לרשום את זה, אתי. חבר הכנסת אחמד טיבי."
אחמד טיבי,אני מוותר.
דליה איציק,"רק שאלה, אדוני. האם אנחנו יכולים להבין, מעצם הדיון, שהחברים חזן וגורולובסקי החליטו שהם אינם מבקשים בעצמם להסיר את החסינות?"
"היו""ר רוני בר-און",אני לא שואל את השאלות האלה.
דליה איציק,למה?
"היו""ר רוני בר-און",כי אני לא שואל את השאלות האלה.
דליה איציק,- - -
"היו""ר רוני בר-און","סליחה, חברת הכנסת איציק, אני מנהל את הדיון. אם אני אקבל הודעה - - -"
דליה איציק,"סליחה, אדוני, אל תהיה קצר-רוח. השאלה שלי היא מאוד לעניין."
"היו""ר רוני בר-און",מאוד לא לעניין.
דליה איציק,"ואל תיתן לי ציונים, בכל הכבוד הראוי."
"היו""ר רוני בר-און",מי שם את השאלה אם היא לעניין? תודה.
דליה איציק,"כבר נתת לנו ציונים. אני מבקשת ממך, אני רוצה להבין. אם הם מתכוונים - אז באמת כל הדיון הזה, חבל לי עליהם וחבל עלינו. אם הדיון הזה מתכוון כך שהם אינם מסירים את החסינות- כל הדיון, יש לו ערך. השאלה היא מאוד-מאוד לעניין."
"היו""ר רוני בר-און",תודה רבה. אין צורך להשיב על השאלה.
דליה איציק,מה זאת אומרת?
"היו""ר רוני בר-און",אין צורך להשיב על השאלה.
דליה איציק,אני רוצה להבין מה זאת אומרת.
"היו""ר רוני בר-און",מי שמבקש להסיר את חסינותו - יודע לעשות את זה.
דליה איציק,אז הם ביקשו שלא?
"היו""ר רוני בר-און",הם לא צריכים לבקש שלא.
דליה איציק,אז תענה לי יפה. תגיד שהם לא ביקשו להסיר את החסינות.
"היו""ר רוני בר-און",אני לא רוצה לענות לך.
דליה איציק,זה חמור מאוד שאתה לא רוצה לענות לי.
"היו""ר רוני בר-און","אני לא רוצה לענות לך משום שאני חושב שהשאלה שלך היא פרובוקטיבית, חד-משמעית פרובוקטיבית, את לא צריכה לגרום לאף אחד לעשות משהו כשהוא לא רוצה לעשות את זה."
דליה איציק,סליחה - - -
"היו""ר רוני בר-און","אל תיכנסי לדבריי, לא נכנסתי לדברייך."
דליה איציק,"אל""ף, נכנסת. אני מציעה לך שתספור עד שלוש. בי""ת, אני אענה לך כשיגיע לך."
"היו""ר רוני בר-און",מי ביקש ממני לא לחנך את חברי הוועדה?
דליה איציק,"רוני, אני מבקשת ממך. השאלה שלי היא מאוד לא פרובוקטיבית, אני מאוד לא במצב-רוח פרובוקטיבי, הנושא הוא לא פרובוקטיבי, ובכל הכבוד הראוי יש לי קצת יותר ניסיון ממך גם בשטח הזה, אז תקשיב טוב."
"היו""ר רוני בר-און","בוודאי, ניסיון של פרובוקציות."
דליה איציק,ממש לא.
"היו""ר רוני בר-און",רק.
דליה איציק,"אתה לא יותר חבר מאחרים. בינתיים אני הגנתי על החברה שלך יותר ממה שאתם הגנתם עליה, אז בבקשה ממך, ותודה רבה לך."
"היו""ר רוני בר-און",אז אנחנו ניתן לך את פרס הוועדה להגנת החברים.
דליה איציק,אל תיתן לי שום פרס ועדה.
"היו""ר רוני בר-און",תודה רבה. אין צורך לענות על השאלה.
אנה שניידר,אני רוצה רק להסביר את המצב המשפטי לשאלה הזאת.
"היו""ר רוני בר-און",זה ברור. המצב המשפטי ברור לכולם. חבר כנסת שמבקש שחסינותו תוסר - יכול לעשות את זה עד לרגע שבו מתקבלת החלטת הוועדה.
אנה שניידר,"כתוב בחוק: ""כל עוד לא הסתיים הדיון בוועדת הכנסת""."
"היו""ר רוני בר-און","בוודאי. הדיון בוועדת הכנסת מסתיים בהחלטה, ואין צורך בפרובוקציות האלה, ואין צורך לקרוא קריאה אולי תשנו את דעתכם, להזמין הסרת חסינות. נער הייתי וגם זקנתי, אנחנו מכירים את כל ה""שטיקים"" האלה.

 הפרוצדורה מבחינת ההסברים - אלא אם יש עוד חברים שצריכים עוד הסברים, או מבקשים עוד הסברים, ולא ענינו ולא שאלנו - תמה."
אופיר פינס-פז,אדוני היושב-ראש.
"היו""ר רוני בר-און",את מי אתה מחליף בוועדה?
אופיר פינס-פז,אני אמור להחליף את חבר הכנסת שלום שמחון.
"היו""ר רוני בר-און",אמור להחליף. אתה החלפת?
אופיר פינס-פז,אני לא מודיע הודעות. רק יושבת-ראש הסיעה יכולה להודיע הודעות סיעה.
"היו""ר רוני בר-און",חבר הכנסת פינס משתתף בדיון הזה כחבר בוועדה?
דליה איציק,"אדוני, הוא משתתף בדיון כי הוא חבר הכנסת פינס. אני אענה לך על השאלה הזאת כשאני ארצה."
"היו""ר רוני בר-און","חבר הכנסת פינס, בבקשה."
אופיר פינס-פז,למה? זה מפריע לך שאני פה?
"היו""ר רוני בר-און","לא, להיפך. אני שמח שאתה פה."
אופיר פינס-פז,"אדוני היושב-ראש, התקדימים לענייני הסרת החסינות היו כאלה שחבר כנסת שלא השתתף בפועל בדיון - נמנעה הצבעתו. יכול להיות שזה נעשה בניגוד לתקנון, או לא בהתאם לתקנון - אינני יודע - זו היתה המציאות שלפיה פעלנו. אתה מציע כאן - - -"
"היו""ר רוני בר-און","אני לא מציע. לדידי, חבר כנסת שלא משתתף בדיון - אם היו שואלים אותי - לא היה צריך להצביע. ומכיוון שהפרוטוקול שותק בעניין הזה, דיברתי עם היועצות המשפטיות, ומה שאמרתי זה מה שקיבלתי מהיועצות המשפטיות.

 אני לא מכיר שופט - אם אני משווה את הדיון הזה כי הוא מעין שיפוטי - שפותח הדיון, נוסע לשפת הים, חוזר, קורא את הפרוטוקול, וחורץ את הדין. עניתי לך, על חוות דעת של יועץ משפטי עניתי לך, לא המצאתי את זה. יש לי דעה פרטית, אבל עניתי על חוות הדעת המשפטית."
אופיר פינס-פז,"אז אולי תשאל את היועצת המשפטית, שישבה פה והנחתה אותנו לאורך כל השנים האחרונות, שאסור - לא לא לבוא, אסור לקום מהכיסא."
אנה שניידר,אף פעם לא אמרתי.
אופיר פינס-פז,"אנה, אני הייתי פה. מה השתנה?"
אנה שניידר,לא השתנה שום דבר וגם אף פעם לא הנחיתי ברוח זאת.
"היו""ר רוני בר-און",אז עכשיו יהיה ויכוח בינך לבינה מה היו ההנחיות?
אנה שניידר,"אני הולכת לפי מה שכתוב בתקנון. התקנון מצא לנכון להתייחס באופן מפורש לדיונים לנטילת חסינות של חבר כנסת, ונאמר באופן מפורש בסעיף 101א שיש סדרי דיון מיוחדים, ואז נאמר בסעיף קטן (ג): ""בכפוף לאמור בסעיף קטן (ב), לא יוחלף חבר הוועדה, אלא אם נבצר ממנו להשתתף בדיוני הוועדה""."
דני יתום,מה פירוש הדבר אם נבצר ממנו?
אנה שניידר,"השאלה מה אם נבצר ממנו - אין צורך כרגע לפרש אותה, כי נבצר ממנו זה דבר אינדיבידואלי של כל חבר כנסת, שהוועדה לא נכנסת לכך.

 דיונים רגילים של ועדות הכנסת - אין חובה של חבר כנסת להשתתף בהם, והדבר נתון לשיקול דעתו הבלעדית. לצורך כך גם נאמר בבג""ץ פנסחי, שחברי הכנסת צריכים לעיין בפרוטוקולים על מנת שיוכלו להצביע. אז התקנון לא אומר שחובה על חבר הכנסת לשבת."
אופיר פינס-פז,"הבנתי. הפרקטיקה כשאת ישבת פה, ואני ישבתי פה, היתה אחרת?"
אנה שניידר,"הפרקטיקה נתונה לשיקול דעתו של כל חבר ועדה. אני לא יכולה להגיד לחבר ועדה: שב כאן מהתחלה ועד הסוף, ואל תצא."
אופיר פינס-פז,אבל אמרנו את זה בעבר.
אנה שניידר,אני לא זוכרת שאמרנו דבר כזה.
אופיר פינס-פז,תסתכלי בפרוטוקולים.
אנה שניידר,"אני מוכנה להסתכל בפרוטוקולים, אבל הפרקטיקה הזאת לא נובעת מהתקנון."
אופיר פינס-פז,תסתכלי בפרוטוקול.
אנה שניידר,"אם כרגע הוועדה מחליטה על סדרי דיון לפני שהיא מתחילה בדיון - זה רק דבר שאפשר לברך עליו, כדי שכללי המשחק יהיו ברורים לאורך כל הקו."
"היו""ר רוני בר-און",עכשיו היה ברור הכל?
אופיר פינס-פז,רק הסבתי את תשומת הלב שבעבר זה היה אחרת.
"היו""ר רוני בר-און","אופיר, אני גם באינסטינקט חשבתי כמוך ואני מוכרח להודות שבמהלך הדיון בעניינה של חברת הכנסת בלומנטל גם כיוונתי את החברים לחובת השתתפות. מכיוון שעלו פה דברים, אני פניתי לייעוץ המשפטי, קיבלתי את התשובה, ואני - עם כל ההרגשה הפנימית שלי - לא יכול לשנות את התקנון. יכול להיות שזו יכולה להיות הצעה טובה לשינוי התקנון."
אהוד יתום,"אדוני יושב-ראש הוועדה, אני מבקש לפנות לשני חבריי לסיעה - חבר הכנסת חזן וחבר הכנסת גורולובסקי - היות ואני חש ואני רואה שזו הופכת להיות ההצגה הכי טובה בעיר - ירושלים - ובכנסת, אני הייתי מבקש, על מנת לחסוך לשחקנים, לבמה ולקהל, את ההצגה הזאת- אדוני, תהיה עם קצת סבלנות - ברגע שהם יגיעו למסקנה - אם הם יגיעו למסקנה - שהם מסירים את חסינותם בעצמם, שיחסכו את ההצגה הזאת לשחקנים, לבמה ולקהל."
ענבל גבריאלי,למה בכלל להעלות את זה?
"היו""ר רוני בר-און","סליחה, אהוד. אני חי פה בדיכוטומיה בין הבקשה של חברת הכנסת גלאון - שאני מתכוון לאמץ - שלא לחנך את חברי הוועדה, ולמוסר שקיבלתי פה מחברת הכנסת איציק. אני לא חושב שצריך להגיד את הבקשה הזאת. הם יודעים, תאמין לי. לכל אחד מהם יש ייעוץ משפטי, הם אנשים מבוגרים - כמוני וכמוך - והם יודעים שאנשים מדברים לטלוויזיה ושאין להם שום סיבה למסיבה לגבי מה שקורה פה. אני מבקש לא להזמין אותם לעשות מעשה שהם יודעים שהם יכולים לעשות אותו לבד. זה לא נכון לעשות את זה."
אהוד יתום,"היות ודעתי ידועה וברורה, אני מרשה לעצמי לומר את העניין הזה, ואני לא חוזר בי מבקשתי."
"היו""ר רוני בר-און","אנחנו נפתח דיון לגופו של עניין ונמשיך בעניינו של חבר הכנסת חזן ביום שלישי, 16 בדצמבר. אם לא נסיים - נמשיך ביום רביעי, 17 בדצמבר. בעניינו של חבר הכנסת גורולובסקי נפתח שבוע אחרי כן ב- 23 בדצמבר, ואם לא נסיים - נמשיך ב- 24 בדצמבר.

 מיכאל, זה חשוב שתעביר זאת לעורך-הדין שלך. כשאנחנו נתחיל, אנחנו נתחיל עד שנסיים באותו יום - בין שתגיע המליאה ובין שנקבל אישור של המליאה להמשיך - אני מקווה שלא יהיה צורך בכך.

 ביום שלישי הבא אנחנו נתחיל בשעה 09:00 בבוקר, וביום רביעי הבא בשעה 09:00; גם ב- 23 וב-24 בדצמבר, בשעה 09:00 בבוקר, אני לא קובע שעת סיום. שעת סיום תהיה ככל שזה יתמשך."
מיכאל גורולובסקי,"אתה מראש קובע שזה יהיה דיון של יומיים, או לפי הצורך?"
"היו""ר רוני בר-און","לא, לא. אם נסיים באותו יום - אני קבעתי את הדיון של היום השני - משמרת שבמשמרת, למקרה שלא נסיים ביום הראשון, כדי שלא נשמע אז: אנחנו תפוסים, לא קבענו - לא מהפרקליטים, לא מכם, לא מהיועצים המשפטיים ולא מחברי הוועדה. רק במידת הצורך אנחנו נמשיך ביום השני של הדיונים, זאת אומרת שגם אם נסיים ביום שלישי את עניינו של חבר הכנסת חזן, לא נתחיל בעניין של חבר הכנסת גורולובסקי ביום רביעי. ההתחלה שלך היא ביום שלישי, 23 בדצמבר.

 תודה רבה. בנסיבות העניין, פרק זה בסדר היום תם. אני מודה לחברים.

ג. בקשות חברי הכנסת להקדמת הדיון בהצעות חוק הבאות – בקריאה טרומית:

הצעת חוק גדר הביטחון, התשס""ד-2003, של חבר הכנסת מתן וילנאי (פ/1576)

הצעת חוק גדר הביטחון, התשס""ד-2003, של חבר הכנסת דני יתום וקבוצת חברי הכנסת (פ/1631)"
"היו""ר רוני בר-און","אנחנו ממשיכים בסדר היום – בקשות של חברי הכנסת להקדמת הדיון בהצעות החוק הבאות, בקריאה טרומית. הבקשה הראשונה היא בקשה לקיצור תקופת הנחה להצעת חוק גדר הביטחון, התשס""ד-2003, (פ/1576), של חבר הכנסת מתן וילנאי .

 בבקשה, חבר הכנסת וילנאי."
מתן וילנאי,"אני הגשתי הצעת חוק בנושא של הקמת גדר ביטחון מכיוון שראיתי שהממשלה לאורך זמן נכשלת בהקמת הגדר הזאת. בשנים האלה נרצחו מאות ישראלים, שהקמת הגדר ללא ספק היתה יכולה למנוע את האירוע שבו הם נרצחו. כל יום שעובר – אנחנו משלמים על כך מחיר, ולכן נדמה לי שגם חובת ההנחה צריכה להתקצר על מנת שהכנסת תוכל להביע את עמדתה בעניין.

 שנית, גם בעולם כולו מתחילות קריאות – עד להעברה של זה לבית הדין הבין-לאומי הגבוה בהאג – שיסבך את ישראל ללא ספק, וחוק כנסת יחזק את מעמדה של הממשלה גם בהתמודדות מול הלחץ הבין-לאומי בתחום הזה.

 לכן, מה שביקשתי זה לקצר את תקופת חובת ההנחה, להניח את הצעת החוק על שולחן הכנסת מוקדם ככל שניתן, עוד השבוע. תודה."
"היו""ר רוני בר-און","הבקשה הבאה היא בקשתו של חבר הכנסת דני יתום, שעניינה אותו עניין למעשה, ולכן אני מבקש לשמוע גם אותך."
דני יתום,"דומה שעם השנים האחרונות – בעיקר בשנה האחרונה – הולכת ומתרחבת ההבנה בקרב הציבור הישראלי ביחס לצורך בגדר ביטחון, והממשלה הרי כבר אימצה את הגדר הזו והחלה בבנייתה, ועדיין חסרים מאות קילומטרים.

 מאחר שיש הבנה בצורך בגדר, ויש הבנה בכך שרק חלק של הגדר לא יפתור את הבעיה, אלא ככל שהגדר תהיה ארוכה יותר כך ניתן יהיה להגן על יותר ויותר תושבים ואזרחים ישראלים- חשוב מאוד לסיים את הגדר מוקדם ככל האפשר, ועל כן יש חשיבות רבה מאוד שהכנסת תדון בכך מוקדם ככל האפשר.

 אנחנו עדים הבוקר להתראת פיגוע באזור דרום השרון, ודרום השרון זה כנראה לא מקרה שהוא חופף את הקטע האחרון של הגדר שכבר הושלמה, קרי מאלקנה ודרומה אין גדר, וזה כנראה לא מקרה שהמחבלים מתרכזים דווקא באזורים שבהם אין עדיין גדר, ולכן יש חשיבות עצומה בהשלמת הגדר.

 כל מה שההצעה הזאת אומרת זה להשלים את הגדר תוך שנה, והיא גם קובעת תוואי מסוים, בהיעדר החלטת ממשלה לגבי כל תוואי הגדר, לכל אורכו."
אורי אריאל,יש תוואי.
דני יתום,אין. אני לא יודע שהממשלה החליטה על כל התוואי.
אורי אריאל,"אתה לא יודע, אבל יש החלטת ממשלה, עם מפה."
דני יתום,"אה, מצוין, נהדר... דרך אגב, היא סודית או לפרסום?"
אורי אריאל,היא תעלה בוועדת חוץ וביטחון בעוד שבוע.
"היו""ר רוני בר-און","חבר הכנסת וילנאי, גם אתה מציע תוואי?"
מתן וילנאי,"אני מציע לפי המלצת כוחות הביטחון, ואני מציע תאריך גמר."
"היו""ר רוני בר-און","אני רואה שיש זהות בין שתי ההצעות שלכם לעניין עצם חובת ההשלמה – מה שנקרא, במימד הזמן. לגבי התוואי יש ביניכם חילוקי דעות?"
דני יתום,כן.
מתן וילנאי,כן.
"היו""ר רוני בר-און","אז אנחנו נצביע פעמיים. יכול להיות שמישהו חושב שהזמן כן, אבל התוואי לא.

 עמדת ממשלה."
אריאלה קלעי,אנחנו מתנגדים לפטור מחובת הנחה.
"היו""ר רוני בר-און",בשתי הבקשות.
אריאלה קלעי,בשתי הבקשות.
רשף חן,"אני תומך נלהב של הגדר, אני חושב שזה דבר מצוין."
"היו""ר רוני בר-און",בעיקר בירושלים.
רשף חן,"בעיקר בכלל . אני חושב שהגדר זה דבר חשוב, אבל פרוייקט מהסוג הזה – כל פרוייקט- בעיקרון, אמור להיות בהחלטת ממשלה. זה לא נושא בדרך כלל – למעט מצבים מאוד יוצאי דופן – שמתאים לחקיקה.

 אני יכול לדמיין מצב שבו הממשלה נמנעת מלעשות משהו, והכנסת לא רואה שום דרך אחרת, אלא לבוא ולחוקק חוק שאומר לה: תבנו גדר, תעשו פעולה, אבל אנחנו לא נמצאים במצב הזה.

 החלטות הממשלה התקבלו, הממשלה החליטה לבנות את הגדר – למעשה, החלטות הממשלה תואמות במידה רבה - - -"
"היו""ר רוני בר-און",זו עמדת שינוי שלא מאיצים בהצעות חוק בממשלה?
רשף חן,"לא. אני לא חושב שמגישים הצעות חוק – אלא אם כן במצבים יוצאי דופן – שבהן אומרים לממשלה: תפעלי פעולה ספציפית, כמו לבנות גדר.

 אני חושב שזה כלי למצבי חירום ואני לא חושב שכרגע מצב החירום הזה קיים. אילו חשבתי שהוא קיים – הייתי חושב שיש מקום לפטור מחובת הנחה. אני חושב שיצטרכו להשתמש בחוק הזה – ובחוקים אחרים, אגב, שהונחו גם מטעם חברים מסיעת שינוי וחברים בליכוד וחברים אחרים – אם וכאשר יתברר שהממשלה לא פועלת לבניית הגדר. זה לא המצב."
אבשלום וילן,"אני חתום על הצעת החוק של חבר הכנסת מתן וילנאי, ואני חושב שאם היינו עושים את הגדר הזאת לפני שנתיים לאורך הקו הירוק - - -"
אחמד טיבי,אתה מסכים לתוואי הנוכחי?
אבשלום וילן,לא. אני חושב שהתוואי – וזה גם כתוב בהצעה – צריך להיות פחות או יותר על הקו הירוק כדי להבטיח - - -
אחמד טיבי,זה לא מה שאומר מתן.
אבשלום וילן,"זה מה שאני אומר, תקרא את הטקסט."
אחמד טיבי,"זה מה ששאל היושב-ראש, שזה שונה מההצעה של חבר הכנסת יתום."
דני יתום,זה שלי – על הקו הירוק ועוד גושי ההתנחלות הצמודים.
אבשלום וילן,"אני חתום על ההצעה של חבר הכנסת וילנאי, אני תומך בהצעה שהמשך הגדר יהיה על הקו הירוק.

 העמדות יכולות להיות בוויכוח, אבל הדחיפות קיימת – לאור מה שאנחנו רואים והעובדה שיש כמעט קונסנזוס כללי שהגדר מונעת פיגועים ויש קונסנזוס כללי שישראל הולכת להסתבך בגדול, אין מנוס אלא להחליט מהר על הקו הירוק כדי לצאת משני הצדדים של הדילמה."
"היו""ר רוני בר-און","זאת אומרת, אתה אומר: אני לא רוצה גדר, העיקר שהיא תהיה על הקו הירוק."
אבשלום וילן,"אני כן רוצה גדר, ושתהיה על הקו הירוק."
גדעון סער,"אדוני היושב-ראש, זה לא מיותר בדיון כזה לשבח את ראש הממשלה שעומד היום מול לחצים בנושא המשך בניית הגדר, ועל אף ההחלטות האמריקניות בנושא קיזוז כספי הערבויות ועל אף ביקורת בין-לאומית לא פשוטה, מתמיד בהחלטת הממשלה בתוואי הקיים, ואכן העבודות נמשכות ומתקיימות, ובכך אנחנו רוצים לחזק אותו.

 אני חייב לומר שאני קצת משועשע מהצעות החוק שהוגשו בנושא הזה."
"היו""ר רוני בר-און",כל התכלית שלנו פה זה לשעשע אותך.
גדעון סער,"זו אחת התכליות החשובות, לא הייתי אומר כל התכלית, אבל ללא ספק אחד היעדים החשובים."
יולי אדלשטיין,שעשועים שעולים שבעה מיליארד שקל. כרטיס לקרקס עולה 20 שקל.
גדעון סער,"והיתה לי איזושהי פליאה שפתרתי אותה לעצמי. הפליאה היתה – איך יכול להיות שבהצעת חוק – טוב, לקבוע לוחות זמנים, במפלגת העבודה קובעים תמיד לוחות זמנים, ואנחנו רואים מה התוצאות – אבל בעיקר כאשר אומרים שתוואי הגדר ייקבע על-ידי כוחות הביטחון. אז קודם כל, יש פה ניסיון להוליך שולל, כאילו יש הבדל בין החלטת הממשלה לבין עמדת גורמי הביטחון, ולא היא.

 אבל, אני שואל את עצמי האם יש כאן בעצם איזו הצעה להכפיף את הממשלה הנבחרת לכוחות הביטחון, ומה יקרה נגיד אם תהיה מחלוקת, כפי שקורה - וחבריי מתן ודני יודעים את זה- נניח בין השב""כ לצה""ל, מיהו גורם העל בדמוקרטיה הישראלית?"
קריאות,המוסד.
גדעון סער,"או בין אלוף פיקוד לראש אמ""ן - החלטת מי מחייבת?

 אני הגעתי למסקנה שהשנים הארוכות שלכם והברוכות בשירות צבא הגנה לישראל גרמו לשיבוש מסוים בתפיסת עולמכם הדמוקרטית, ולכן אני רוצה להזכיר לכם שבמדינה דמוקרטית יש ממשלה. ממשלה מקבלת את ההחלטות, החלטותיה מתבצעות – כך יהיה גם במקרה הזה, ודין ההצעות שלכם לא רק לא להתקבל, אלא ודאי להידחות גם היום בדיון בוועדה."
קריאות,- - -
אחמד טיבי,זה המקום היחיד שחבר הכנסת סער מדבר על דמוקרטיה.
אבשלום וילן,85% מהחלטות הממשלה לא מתבצעות - - -
"היו""ר רוני בר-און",עד כאן הפרק הנוגע לעינוגיו של יושב-ראש הקואליציה בוועדת הכנסת.
יולי אדלשטיין,"אני לא כל-כך הבנתי מה הקשר בין העמדות של כולנו בנושא הגדר לדיון הנוכחי, אבל אם כבר כולם התבטאו בנושא הזה, אז אני יכול להיות קונטרה לידידי יושב-ראש סיעת שינוי, ולומר שאני מתייחס לנושא הגדר בלשון נקיה מאוד בסקפטיות, ואני לא חושב שצריך להשלים אותה לא בתוך שנה ולא בתוך חמש שנים, כי חבל פשוט על הכסף."
דליה איציק,אלא? במקום גדר מה?
יולי אדלשטיין,זאת בדיוק השאלה – איך הגענו לגדר בלי לבדוק את האלטרנטיבות. ואם מישהו מכם יודע על האלטרנטיבות – אז שיגיד לי. בינתיים מסתבר שלא ראש הממשלה ולא שר הביטחון יודעים.
אבשלום וילן,"אתה יוצא נגד עמדת ראש הממשלה, יולי?"
יולי אדלשטיין,"כן. אני גם בשונה מחברי גדעון סער, לא רוצה לשבח את ראש הממשלה בנושא הגדר- מותר לי, לא?"
קריאה,האומנם?
יולי אדלשטיין,"אבל, אדוני יושב-ראש הוועדה, לצורך הדיון עצמו – כי כל שאר הדברים היו פחות רלוונטיים – אני חושב שנאמרו כאן דברים נכונים, שחקיקה לגבי פעולה ספציפית של הממשלה היא לא חקיקה מקובלת במוסד הזה. לכן, אני לא רואה בה לא צורך ולא צורך במתן פטור מחובת הנחה."
"היו""ר רוני בר-און","אתם רוצים להשיב, בבקשה."
מתן וילנאי,"לחבר הכנסת חן – יש לי פה את הצעת ההחלטה של מועצת שינוי, יש לכם ועדת חוץ וביטחון: מועצת שינוי רואה בגדר הביטחונית אמצעי הגנה חיוני, היא דורשת - - -"
רשף חן,"אגב, אני מבקש שזה יהיה תקדים שהחלטות מועצת שינוי הן מחייבות את מפלגת העבודה."
מתן וילנאי,"אני התכוונתי לציין לשבח שיש לכם גם מועצה, גם ועדת חוץ וביטחון, אבל אל תידבקו מהממשלה, תממשו את ההחלטות שלכם."
גדעון סער,"חברת הכנסת איציק, לכם יש כבר מועד לפריימריז?"
דליה איציק,"אם אתה רוצה להקניט את מתן – אתה לא תצליח כי הוא מאוד-מאוד פופולרי, ולא רק בסקרים."
גדעון סער,"לכן אני רוצה שיהיו פריימריז, שאתם לא תשבשו את יכולתו להיבחר. הרי אתם רוצים להאריך את כהונת היושב-ראש הזמני בדיוק מהטעם הזה, כדי למנוע ממתן להיבחר."
אבשלום וילן,"אתה רוצה להיות יושב-ראש האופוזיציה, שאתה כל-כך מתעניין?"
גדעון סער,"כאשר חבר כנסת מהאופוזיציה מביע עמדה לגבי המוסדות הדמוקרטיים במפלגה המשתייכת לקואליציה, זה בהחלט לגיטימי שבשורות הקואליציה יביעו התעניינות דומה."
מתן וילנאי,"מועצת שינוי ביקשה מחברי הכנסת לפעול ולתמוך בהצעות חקיקה שהונחו על שולחן הכנסת, ולכן כפי שציינתי, יש מספר הצעות גם של חברי שינוי."
רשף חן,"יש לנו גם בית-דין, ואתה יכול לפנות אליו - - -"
"היו""ר רוני בר-און",זה לא יהיה פינג-פונג.
מתן וילנאי,"אין ספק – ואני עונה לחבר הכנסת יולי אדלשטיין בעניין הזה – בחשיבות הגדר ובדחיפות שלה, אין דיון על העניין. אין איש ביטחון אחד – לא בשב""כ, לא במוסד, לא בצבא – שיגיד לך שלא צריך גדר. היחידים שיגידו את זה אלה הפוליטיקאים."
אליעזר כהן,הוויכוח הוא על המיקום.
מתן וילנאי,"נכון. לכן, אין ויכוח על הגדר."
יולי אדלשטיין,"מה זה מלמד אותי, אני לא הבנתי. ודאי שיותר נוח לי להיות מ""פ אם יש לי גדר, אבל זאת לא השאלה."
מתן וילנאי,"אני חוזר שוב - אין ויכוח על הצד הביטחוני של הגדר, נקודה. אף פעם לא היה. תמיד הוויכוח הזה הוא ויכוח פוליטי, ולכן זה עולה כאן.

 הממשלה החליטה את זה - עוד כשישבנו שם - ביולי 2001, זאת אומרת זה למעלה משנתיים, והגדר לא הסתיימה.

 אני בניתי גדר בעזה - נכון, רק 54 קילומטר - בארבעה חודשים, אז כאן בכל מכפלה שלא תעשה, ברור שזה היה צריך כבר להסתיים."
אליעזר כהן,אז לא חסרו לך המיליארדים שחסרים היום.
מתן וילנאי,תמיד היה חסר. גם בשנות ה-50 היה חסר.
אורי אריאל,"איך אתה עושה את המכפלות? אם אתה עושה לפי 540, זה פי 10."
מתן וילנאי,"והדבר האחרון - תמיד יש מנגנון כדי לפתור חילוקי דעות בין גורמי הביטחון, ובממשלה - והמנגנון הזה יופעל גם במקרה הזה."
אחמד טיבי,היות שדיברו גם על חשיבות הגדר - הגדר היא הרי הדבר שיוביל לראשונה את מדינת ישראל לבית הדין הבין-לאומי לפשעי מלחמה.
דני יתום,"לא, לא, זה לא בית דין לפשעי מלחמה."
מתן וילנאי,זה לא לפשעי מלחמה.
אחמד טיבי,בית הדין הפלילי.
קריאות,- - -
אחמד טיבי,ההחלטה ידועה.
