header,body
השר אברהם פורז,"לא ניתן גיל מדויק, אבל המדובר פחות מגיל 8 ומעלה, וגם אמרתי לאנשי משטרת ההגירה, יש לנו מספיק עובדים זרים בלתי חוקיים שאין להם שום סיבוך עם ילדים, ולפני שמגיעים לילדים אפשר לטפל באחרים. הסיבה לכך היא, שלפי יוזמתי הקימה הממשלה ועדה מיוחדת לשינויים במינהל האוכלוסין במספר נושאים, ובין היתר הועדה עוסקת גם בנושא הזה של ילדי העובדים הזרים.

אני לא יכולתי לשנות את הדברים על דעתי, משום שהיועץ המשפטי לממשלה הקודם, אליקים רובינשטיין, נתן חוות דעת ששינויים במדיניות ההגירה של ישראל הם לא יכולים להיות בשיקול דעתו היחיד של השר, והשר חייב לקבל גיבוי של הממשלה. ולכן הוא קבע שגם בנושא הזה של ילדי עובדים זרים ומתן מעמד בארץ לילדי העובדים הזרים או להוריהם, זה בגדר הנושאים שצריכה להיות החלטת ממשלה. ואכן הממשלה הקימה ועדה, הועדה עסקה במגוון של נושאים בין היתר, הורים לחיילים, וחיילים והורים קשישים, אבל היא עסקה עד עכשיו בשתי ישיבות גם בנושא של ילדי העובדים הזרים. זה נכון שהוצגו בפני הועדה נתונים סותרים על המספר. בעצם אחד הנתונים הוא שאפשר לקחת את כל מי שנולד בישראל במרוצת העשור האחרון, ולא קיבל מספר תעודת זהות, ולצאת מתוך הנחה שכל אלה הם ילדי עובדים זרים. אבל זו תהיה טעות חמורה, כי זה יכול להיות ילדים של דיפלומטים, זה יכול להיות ילדים של שליחים, זה יכול להיות מקרה שמשום מה תעודת הזהות לא דווחה, זה יכול להיות פלשתינים שבאו וילדו בבתי חולים, נניח במזרח ירושלים, ואחר כך חזרו למקומות אחרים. כך שלדעתי בסך הכל לפי הערכות, ואשמח לשמוע גם מגורמים שעוסקים בזה מקרוב, אני חושב שבסך הכל במערכות החינוך שלנו בילדים שהם נניח מגיל 8 ומעלה אני חושב שמדובר בכמה מאות ולא יותר. אני חושב שמספרם פחות מאלף, בגיל של 8 ומעלה. המספר הזה גם כולל כאלה שכבר למדו וגמרו והם היום נניח בני 20."
משה גפני,"בינתיים גם היתה התפתחות בשנים האחרונות. המספר גדל, או - -"
השר אברהם פורז,"אני אגיד לך חבר הכנסת גפני, תראה, עד לפני שנתיים עד שהוקמה מינהלת ההגירה משטרת ההגירה, למעשה לא היתה אכיפה של אמת בתחום העובדים הזרים. באופן תיאורטי פה ושם גירשו מישהו אבל זו היתה תופעה שלא נלחמו בה. רק משהוקמה משטרת ההגירה, מינהלת ההגירה, אז יש היום מצב של הרחקה המונית מישראל. אתם בוודאי שומעים בתשדירים שכבר 100,000 עזבו. אני לא יודע אם זה נתון נכון, חלקם אולי מרצון וחלקם לא, אבל אני חושב, שבגדול עכשיו יש טיפול וכתוצאה מזה, שהמשטרה מטפלת בזה, גם הפניות אלינו באות. כי כל עוד אין אכיפה אז מה אתה צריך לטרוח, אז אין לך מה ללכת ולבקש כלום, ממילא אתה עושה דין לעצמך.

באופן כללי בואו נאמר את האמת לאמיתה, כל הסיפור של העובדים הזרים והרחקתם היא טרגדיה אנושית. זו טרגדיה אנושית, זה אנשים שבאים מהעולם השלישי, הם רוצים לשפר את רמת החיים שלהם, הם באים ממדינות במצוקה, לפעמים במדינות שבהם יש מחלות ואין טיפול רפואי נאות, והם נאחזים בכל כוחם כדי לשרוד ולשפר את מצבם. במובן זה אני חושב שכל אחד מאיתנו, אם יש לנו קצת לב, צריכה להיות אהדה לאנשים המסכנים האלה, שבסך הכל באו אלינו פה, רק להתפרנס. וחלקם אגב, עובדים פה קשה ואת רוב הכסף הם שולחים לחוץ לארץ כי לפעמים במדינה של עולם שלישי, עם כמה מאות דולרים בחודש חיים עשרות אנשים. יש מדינות שבהן העובד הזר אם הוא שולח 500-600 דולר למדינה כזאת, לא רק משפחתו הקרובה אלא גם דודיו ובני דודיו לפעמים אולי עשרות אנשים חיים מהסכומים האלה. אז במובן זה צריכה להיות כל הסמפטיה לאנשים האלה. 

מצד שני עניי עירך קודמים. ואנחנו לא יכולים ליצור מצב שבו אנחנו מכניסים עובדים זרים לארץ, ושוללים מישראלים שאין להם קישורים מקצועיים גבוהים, להתפרנס. הרי העובדים הזרים בדרך כלל, הם לא באים, יש גם חריגים, יש לנו גם עובדים זרים שהם מנהלי חברות תעופה ומנהלי בנקים שאנחנו מטפלים בזה בקטע אחר, רובם באו לעבודות פשוטות שישראלים לא רוצים לעשות. החל מחקלאות דרך סיעוד דרך בנין דרך עבודות קשות בתעשייה, עבודות שישראלים מטעמים אלה או אחרים, כדי לא להעביר ביקורת על הישראלים, לא רוצים לעשות. והם עושים עבודה שחלק מהישראלים החליטו שבמקום ללכת לעשות עבודה קשה כזאת עדיף ללכת לקבל דמי אבטלה, הבטחת הכנסה, סיוע בשכר דירה, אמנם השכר נמוך אבל המאמץ כמובן הרבה יותר קל, ואני רוצה להגיד לכם, אני יכול להבין שלעבוד בחקלאות או לעבוד בבניין או לעבוד בסיעוד עם קשישים זה עבודות קשות מאד. ומאד גם לא נעימות לפעמים. אצל קשישים סיעודיים יש מצבים שזה ממש גם לא נעים. מאד לא נעים. אבל החליטה הממשלה על מדיניות, ואני חושב שהמדיניות הזאת היא נכונה, שאנחנו רוצים לחיות בישראל עם מספר של עובדים זרים חוקיים אנחנו רוצים להביא להרחקתם של הבלתי חוקיים.

בתוך הדבר הזה אנחנו נשארים עם דבר שהוא תוצאה בין היתר של מחדלי הממשלות בעבר. הרי אם היינו אוכפים את חוקי ההגירה בעבר, לא היה מצב שיהיה פה מישהו בן 16 שנולד בארץ או מישהו בן 16 שהגיע בגיל שנתיים והוא נמצא פה 10 או 12 שנים ולומד במערכות החינוך שלנו. ולכן אני אמרתי לממשלה, לועדת השרים, שאני חושב שבמבצע חד פעמי, הואיל ועכשיו התופעה לא חוזרת על עצמה כי יש אכיפה, אנחנו צריכים לתת לגליזציה לקבוצה של כמה מאות ילדי עובדים זרים שהם חלק מהחברה הישראלית, הם יודעים עברית, הם לומדים בבתי הספר שלנו, הם מנותקים לחלוטין מארץ מוצאם. והחזרתם לארץ מוצאם זה לא רפטריאציה זה לא החזרה למולדתם זה הגליה, הגליה תרבותית. ולכן קודם כל עצרנו את הגירוש של אלה .

המאבק שלי בתוך ועדת השרים, לדאוג שקבוצת הילדים הזאת, אני אומר נניח מ-8 ומעלה, פחות או יותר, שהם נמצאים מספר שנים בארץ, הם יזכו פה לקבל מעמד ולגבי הוריהם אנחנו חייבים גם לתת להורים לפחות עוד תקופה עד שהילדים נהיים מבוגרים, שהרי בוודאי שזה טפשי לחלוטין לתת לילד בן 10 מעמד בארץ, ולמחרת לגרש את הוריו. אז קודם כל זה צריך להיות ברור שלא מגרשים את ההורים, נכון, שההורה אם הוא בלתי חוקי, והוא מסתובב בתחנה המרכזית או במקום אחר והמשטרה עוצרת אותו, והוא צריך להציג תעודות ואין לו, אז הוא בשלב ראשון נעצר עד שנעשה בירור ומוודאים שיש לו ילדים הוא משוחרר.

אני רוצה להגיד לכם גם שאני מאד מעריך את העבודה שעושה עיריית תל אביב, בנושא הזה של העובדים הזרים, אני חושב שארגון מסילה שהעירייה הקימה הוא דבר חשוב, ואני רוצה להגיד לכם, למרות שאני אומר את זה בפני מצלמות, אני מהמעט כסף של משרד הפנים נתתי כסף לעיריית תל אביב, למרות שהיא לא עיר במצוקה, למטרה הזאת. אני העברתי כסף ממשרד הפנים לעיריית תל אביב כדי לעודד אותה ולהודות לה על מה שהיא עושה בקטע הזה של העובדים הזרים, כי היא למעשה הגוף היחיד שנותן להם איזה שהוא סיוע בתחומים של רווחה ודברים כאלה. אני חושב שהארגון הזה הוא ארגון מאד חשוב."
"היו""ר רן כהן",משימת כל הנטל בארץ הוא עליה.
השר אברהם פורז,"הרוב, אני יודע שלעירייה יש קשיים, ואני יודע שלא כל הכסף הגיע, ואני כמובן,אחד הדברים שאני כמובן לא מוכן, זה כסף שהעברתי לעיריית תל אביב למטרה זאת וישמש למטרות אחרות. אבל זה כבר התחשבנות לביני לבין אנשי עיריית תל אביב, אני מניח שבענין הזה אני אצליח.

ראו, אנחנו לא צריכים לעשות דמוניזציה של העניין. מדובר בכמה מאות, תופעה חד פעמית, כי בעבר לא היתה אכיפה. ולדעתי - -"
יוסי שריד,עכשיו כבר לא נכנסים עובדים זרים?
השר אברהם פורז,"כן, אבל אני אגיד לך, אם הם נכנסים והופכים לבלתי חוקיים הם יגורשו, ואני אומר לך, חבר שריד, אם משפחה יש לה ילד בן שנתיים שלוש, או ארבע או חמש, אין לי שום בעיה לגרש את המשפחה עם ילדיה. ילד בן חמש תלוי בהוריו, הוא יכול בקלות להקלט במקום אחר. אבל ילד שגמר את מערכת החינוך שלנו, הוא כבר עמד על דעתו, והוא כבר הפך לישראלי, זה סיפור אחר. 

לפעמים גם נולדים פה ילדים. אני אגיד לכם גם יש עוד תופעה, חבר הכנסת שריד שתדע, יש פה מצבים שבהם נולד פה ילד והאמא וההורים שולחים אותו בהזדמנות ראשונה אל הסבתא בפיליפינים או במקום אחר, כדי שהיא תגדל אותו."
יוסי שריד,"אז אין בעיה, אין פה ילד."
השר אברהם פורז,"לא, אין פה. אבל הבט, נגיד גם נורא קשה להם לגדל ילד. כי שני ההורים - -"
יוסי שריד,"יש לנו כנראה מחלוקת מסוימת על מידת ההתייצבות של אישיות בגיל חמש. לי יש הערכה אחרת, אבל בסדר."
השר אברהם פורז,"אני יכול להגיד לך מנסיוני האישי, אני בגיל חמש נעקרתי ממולדתי ההיסטורית רומניה, והובאתי פה לארץ, אני אומר לך אחרי חודשיים ידעתי עברית, ובכתה א' כבר הייתי תלמיד די טוב. ואני לא זוכר את זה כטראומה שהרסה - -"
יוסי שריד,"לא כולם ילדים מחוננים. מה זה עשה לך כאשר אתה נהדף ברוח הציונית הגדולה, מה אתה משווה את זה, אנחנו באנו בתקווה, לחיים חדשים, עתיד חדש, באת מרומניה, אז לא נורא."
השר אברהם פורז,"אני ידוע זה לא כבוד גדול אבל גם לא בושה כל כך גדולה. 

כמה משפחות אנחנו מכירים של ישראליים שלקחו ילדים בגיל הזה והיגרו איתם לארצות הברית, והם נמצאים בניו יורק ובלוס אנג'לס, הרבה. אבל לא חשוב."
יוסי שריד,"מכירים גם בגיל 10, זה לא ראייה."
השר אברהם פורז,"חבר הכנסת שריד, מה שאני יכול לומר לך זה דבר מאד פשוט. לי גם על המעט הזה שאני רוצה מגיל 8 ומעלה, גם על זה יש לי קרב לא פשוט. ואני יודע, תפסת מרובה לא תפסת - -"
יוסי שריד,"יש יציאה מגיל 8, אני ארשום את זה לזכותך."
רן כהן,מה נוכל לדעת כועדה מה ההחלטה בענין הזה.
השר אברהם פורז,אין החלטה.
יוסי שריד,"אתה שאלת אם הילדים קודם יודעים בבית הספר, לא היה לי נעים להגיד שהילדים שיושבים פה לא יודעים. אני למשל לא יודע מה ההחלטה."
השר אברהם פורז,"רבותי, כרגע אנחנו עשינו רק צעד ביניים, כי - -"
יוסי שריד,יש דה יורה ויש דה פקטו. אתה הורית לא לגרש.
השר אברהם פורז,"כי אין טעם לגרש מישהו שבעוד חודשיים הממשלה תחליט שהגרוש בנסיבות שלו, היה לא מוצדק. אז אנחנו כרגע עכבנו את הגרוש, לא מגרשים. במקביל, ועדת השרים קיימה כבר שתי ישיבות, אני מניח שבמהלך החודש הקרוב תתקבל החלטה סופית בעניין הילדים האלה והוריהם בועדת השרים, ובזה העניין יגיע לידי הסדר, ונוכל להתקדם הלאה. לי יש קרב, אני אומר לכם לא פשוט, בועדת השרים נגד שרים, שאומרים שעל ידי לגליזציה של אנשים שהם לא יהודים כמובן, זה אנחנו יודעים, אנחנו הורסים את אופייה היהודי של המדינה, אנחנו פוגעים באושיות המדינה. אבל אני אומר להם, אין בזה שום דבר, זה לא פוגע ביהדות, ולא כלום, מדינה צריכה גם לגלות מידה של חסד, גם לא מדובר במספרים גדולים, לא פוגע בדמותה הדמוגרפי של המדינה, מדובר בכמה מאות ועם ההורים שלהם זה יכול להיות כל העסק 3000 איש, 4000 איש, זה לא מספרים, אפילו פחות, אז זה לא מספרים שצריכים להדאיג אותנו. פרט לזה, אלה אנשים חיוביים. הילדים האלה, רובם, רוצים לשרת בצבא. שמעתי בפגישות שהיו לי איתם, מוכנים לעשות כל דבר. ההורים אנשים חיוביים, ההורים עובדים עבודת כפיים קשה שישראלים לא רוצים לעשות."
מרינה סולודקין,"תודה רבה, אני לא לעיתים קרובות תומכת במדיניות משרד האוצר וברפורמות כלכליות, אבל עניין של עובדים זרים אני תומכת במדיניות, גם של משרד האוצר, גם של משרד הפנים, ואני חושבת יש פתרונות אישיים למקרים בודדים, כמו שאתה מנסה לעשות.

מה שאני נגד מאד, אני נגד שרות דב. שלפעמים הנציגים של מר""צ וגם לצערי הרב נציגים של שינוי, עושים צרוף של בעית עובדים זרים, ובעית העולים. זה דברים אחרים לגמרי, המדינה שלנו מדינה שקולטת עלייה מדינה יהודית, וגם מדינה דמוקרטית, ולא צריך לערבב את הדברים ובטח לומר, לתת סל קליטה לתלמיד בן של עובדים זרים בלתי חוקיים, זה נשמע קצת מוזר. אני צריכה לומר, בגלל אתה יודע שיש לי בעיות כאן, השר פורז מדבר על אזרחות של עובדים זרים בלתי חוקיים שיש להם ילדים שגדלו בארץ. לי יש עשרות מקרים שאנשים שהגיעו לפי חוק השבות- - -"
יוסי שריד,"אנחנו מטפלים בזה לא פחות ממך, מה זה לך יש."
מרינה סולודקין,"כי אתה לא יודע את המקרים האלה, וגם אתה לא יודע איזה נזק עושה כשאתה משווה. יש לי בג""ץ נגד משרד הפנים שזורק לחו""ל אמא של אזרח ישראלי בן 8, שגם היא קרבן בדולפינריום. ובג""ץ שלח. אז מה שאני אומרת בכל ישיבה של ועדת הפנים, אתה לא יודע, בטח שאתה ראש המערכת, יש אנשים שיודעים."
השר אברהם פורז,"אני לא יודע על כך, תביאי לי את הפרטים. אנחנו לא עושים דברים כאלה. אני רוצה להגיד לך, בכל המקרים שהיה מדובר באנשים שנפגעו בפעולות איבה אז אמרנו שהם קשרו את גורלם במדינת ישראל ונתנו אפשרות להיות פה. כמובן לנפגע ולבני משפחתו. אני לא מכיר את התיק הזה, בעקרון אם זה נכון, אנחנו נטפל, זה בניגוד למה שאנחנו אמורים לעשות."
מרינה סולודקין,"דבר שני, לי יש תואר שלישי בכלכלה. ומה שאני אומרת כשאומרים לי שאנחנו זקוקים לעובדים זרים, בחקלאות, בבניה, בסיעוד, בבתי אריזה, אני אומרת לכם יש ציבור שיש 15 ויותר שנים של השכלה שעובד גם בסיעוד, גם בבתי אריזה, וגם בחקלאות. אז בגלל זה מה שאני אומרת, למה אחרים שאין להם השכלה הזאת לא מסוגלים לעבוד בתנאים הקשים שיש בענפים אלה."
השר אברהם פורז,"אבל את לא תתני לזקן סיעודי שהוא צריך טיפול 24 שעות ביממה שבעה ימים בשבוע, כדי להביא ישראלי צריך שלוש משמרות, שלושה עובדים שהם לא יכולים כלכלית לעמוד בזה."
"היו""ר רן כהן","אדוני שר הפנים, אני יכול לתת לכם הצעה, בוא לא נכנס לעניין הזה, אנחנו מדברים היום על ילדים, תאמינו לי, בנושא של הסיעוד אנחנו עוסקים בועדה לעובדים זרים, ואחד הנושאים הכי מורכבים שיש."
מרינה סולודקין,"אני תומכת במדיניות של משרד החינוך שמתייחס באנושיות וגישה הומנית לילדים וטוב שאנחנו שומעים שיש, עיריית תל אביב, שיש ארגונים שתומכים בתהליכים החיוביים האלה."
"היו""ר אילן שלגי","הערה אחת, אנחנו לא עושים שום השוואות בין עולים חדשים לבין עובדים זרים. העולים החדשים באים כדי להקלט, העובדים הזרים באים או כדי לעבוד, ומי שלא חוקי כדאי לחזור לארצו. הדאגה היחידה נדמה לי שעלתה מתוך הדברים של חבר הכנסת שריד, זה אם ילדי עובדים זרים בגלל מצוקתם לא צריכים תגבור. איך מגדירים את התגבור, זה עניין של - -"
ענת כוהנה-עורקבי,"אני רוצה להתייחס לדברים שאמר יוסי, ואני רוצה גם לחזק את העניין ולבקש מהוועדה להתייחס באופן מועדף לבתי ספר שאוכלוסייה שלהם היא מורכבת מאחוז גבוה מאד של ילדי עובדים זרים, כמו בית ספר ביאליק.

בעבר קבלנו תקן לבית הספר קבוע וברור, למספרי כתות. מתוך רצון במדינה להיות שוויוניים, התקן השתנה עם השנים, ועל פי מספר התלמידים בבית הספר כך אני מקבלת תקן השעות. בעבר, באמת הובטח על ידי יוסי, וככה התקיים, שנקבל ולא בהתייחסות למספר התלמידים, אלא בהתייחסות כללית של 12 כתות עם תקנון ל-12 כתות, ודרך זה נוכל לעשות את העבודה שלנו הרבה יותר טוב. משנה לשנה המצב קשה ולכן הבעיות הן קשות מאד."
יוסי שריד,"לא מתוך רצון לשויוניות, אל תייפי את זה, את עושה את זה מתוך רצון לשוויוניות אז לקחו את מה שהיה לכם במדיניות של העדפה והורידו את זה למטה, זה מתוך רצון לשוויוניות. מתוך נסיגה מן המדיניות. מה זה שוויוניות. שוויוניות זה יפה כשמעלים כלפי מעלה, לא כשמורידים מישהו כלפי מטה. ואומרים לו."
"היו""ר רן כהן","אני מבין שהכוונה היא ברורה. שבית הספר שבו יש כ-50% ילדי עובדים זרים, יקבל תגבור בתקן כפי שהיה, על זה מדובר. אבקש את נצ""מ אגמי איך זה נראה באמת מנקודת הראו שלכך, כי זה מאד חשוב לנו, ואחרי זה גב' יצחקי."
זיוה אגמי כהן,"אולי אני אומר משפט אחד אישי, מקדים, מתחת למדים הכחולים נמצאים בני אדם, וגם הדעות שלנו בעניין הזה, אני חושבת שיש קונצנזוס לגבי הזכויות של הקטינים, בכלל לגבי הזכויות של העובדים הזרים, אני חושבת שאנחנו מישמים את כל האמנות ואנחנו רוצים במיוחד לשים דגש על כל מה שנאמר בענין הזה להקפיד על הזכויות.

אני אומר עוד משפט אחד, המינהל זה הגירה, - -"
"היו""ר רן כהן",למיטב הבנתי אין בכלל היום גרוש של הורים של ילדים אלא בהסכמה. אני רוצה לדעת עכשיו מה אצלכם.
זיוה אגמי כהן,"נכון, לא היתה גם. אין הרחקה של ילדים, אין הרחקה של ילדים קטינים ואין הרחקה של משפחות אלא בהסכמה. יתרה מכך, גם כל ההרחקות שנעשו עד כה של משפחות עם ילדים, נעשו במסגרת שני מבצעים שבהם המשפחות נרשמו ועזבו מרצון לאחר התארגנות עצמית של שלושה חודשים, בזמן שניתן להם."
"היו""ר רן כהן","אני מוכרח להגיד, זיוה, היו ארועים מאד דרמטיים ומאד קשים שבהם ילדים חוו חוויות מאד קשות של כניסה והתפרצות לבתים, ראינו גם תמונות לא קלות."
זיוה אגמי כהן,"נכון, זה היה בתחלה, אני יכולה להגיד לך שנכון להיום, הנושא הזה מוסדר בנוהל פנימי של מינהלת ההגירה, בדיוק מה עושים ואיך עושים. במיוחד הנושא זה של קבלת שרותים במסגרת בתי חינוך, בתי ספר, גני ילדים, כניסה למוסדות תפילה. בכלל, היום הנושא הזה מוסדר שחור על גבי לבן, אין כניסות לשום בית ספר, לשום מוסד תפילה, לשום בית חולים. יתרה מכך, אנחנו לא מבצעים מעצרים של משפחות שאנחנו יודעים שיש ילדים בתוך הבתים. אתה מדוע לזה, הדברים האלה מובהרים לגמרי, ואני רוצה לומר לגבי הנתונים של הרחקה, 103,000 אותו נתון שפורסם היום 100,000 עזבו, כש-60% עזבו מרצונם, על רקע הנושא הזה של הסברה מסיבית שנעשית. אז זה נתון שחייבים להתיחס אליו, הנושא הזה של שיתוף הפעולה של מנהלת ההגירה, הרי זו מנהלת בתוכה המשטרה היא הזרוע האכיפתית, אבל הסמכות היא של משרד הפנים. וכל פעם שהנושא הזה של מעצרים או הרחקות של ילדים או משפחות, הכל נעשה בתיאום ושיתוף פעולה, גם ארגוני הזכויות. ארגוני הזכויות מבחינה שהם מביאים כאן, כמעט כל הרחקה או כל פניה, תאשר זאת עדנה, שפנו אלינו גם למממן את הקטינים או אישה שהיא לבד, ויש לה קטנים והיא לא יכול לממן את הטיסה, אנחנו נערכנו, נרתמנו בשיתוף עם יחידות הסעד של הרווחה. הנושא הזה מעוגן אצלנו והוא מוסדר. זאת אומרת, היום שום דבר הוא לא פרוץ. ואתה תארת איזה תחושת של התיחסות של חשש, אנחנו לא יכולים עקור את שטח החרדה כי היא קיימת מאז, זאת אומרת שענין ההרחקה הוא מדיניות של מדינת ישראל, לא של מינהלת ההגירה."
"היו""ר רן כהן","אני לא אמרתי את זה כאשמתכם, אני השארתי את זה כמתלה על מערכת החינוך, איך היא תוקפת את זה, אבל תודה רבה."
רינה יצחקי,"קודם כל אני רוצה לחזור ולברך על בית ספר ביאליק שהוא באמת איזה אי, פלנטה אחרת, אני לא רוצה להגיד שפיות גם האחרים שפויים, אבל אי של מציאות שהיא לא כל כך מאפיינת את המקומות האחרים, ולעיתים חבל לי שבתי ספר אחרים לא נחשפים ולא נמצאים בקשר עם בית ספר שבואו נאמר לא רק ילדים של מהגרי עבודה, אלא גם כל המבנה הסוציואקונומי של בית הספר הזה שעובד עם ילדים מהרמות הנמוכות ביותר ומצליח ליצור שם אוויר הלימודית ואווירת צוות שבאמת ראויה לכל שבח. וגם כל מה שהם מקבלים ראוי לכך, אבל אני הייתי אומרת, קודם עלתה פה שאלה באיזה מידה כל המטפלים למיניהם, עובדים סוציאליים, פסיכולוגים, וכל היתר, מודעים לאמנות בינלאומיות. בעיני זה דבר מאד חשוב, יש לי עניין רב בנושא הזה, אני מלמדת אותו שנים ואני עצובה להגיד, שרוב האנשים כולל אנשים שמגיעים לועדת זכויות הילד בכנסת בתפקידים גבוהים, לא מכירים את האמנות. במקרה הטוב, הם מכירים סעיף אחד שנראה להם שזה הסעיף שמחסה. ואני יודעת שנעשית היום פעילות בנושא הזה, אני לא אומרת שלא נעשה שום דבר, אבל עדיין זה רחוק ממה שנחוץ. הסעיף שכאילו מחסה את ילדי העובדים הזרים, זה הזכות של כל ילד לשם ולזהות, וזה לא מספיק. כי יש עוד כמה זכויות שחייבים לקחת בחשבון וחשוב שכל העובדים יהיו מודעים לרוח האמנה, לא פחות מאשר לסעיף כפי שהוא מנוסח.

קודם כל, סעיפי ההגנה. כל ילד זכאי להגנה מפני כל פגיעה. סעיף של שוויון, אני יודעת לפחות נכון עד לפני זמן קצר שדיברתי עם אמירה יהלום, כשהיא עוד היתה בתפקיד שלה הקודם, שהתקציבים שמגיעים עבור הילדים של המהגרים הם לא מלאים, שיש מה שמגיע בחובה, בחובה מגיע, ומה שנכנס בכל הדברים של פיתוח וחוגים ודברים כאלה לא כל כך מגיע. אז אפילו באי הזה המסודר כביכול. אני חושבת שחייבים לדאוג."
"היו""ר רן כהן","יש דיבור בינך לבין משרד החינוך, ובין מנהלת בית הספר על הנושא הזה."
רינה יצחקי,"לא, קבוע, לא עקבי, אני היה לי העונג - -"
"היו""ר רן כהן","לא הייתי רוצה שרק באמצעות שתי הועדות שלנו כאן, יווצר הקשר הזה."
רינה יצחקי,"אני אשמח מאד לשיתוף פעולה בנושא הזה של יידוע על רוח אמנה ועל הסעיפים, ובכלל מה זה אמנה בינלאומית, מה התפקיד שלה, זאת לא אמנה יחידה שצריך לדעת."
"היו""ר רן כהן","הואילו באמת להפגש ולדווח ליושב ראש ועדת החינוך ולי, מה באמת עלה מהמפגשים בענין הזה."
רינה יצחקי,"אני גם לא בניתוק מוחלט ממשרד החינוך, אני מכירה טוב את הממונה על ישום זכויות התלמיד, אני רק רוצה להגיד שיש לי המון כבוד למה שעושים אבל זכויות התלמיד זה עדיין חלק מזכויות הילד בכלל. אז יש פה בעיות שלא הכל מסודר, אם כי זה בהחלט בתהליך חיובי אני בהחלט משבחת אותו. צריך להמשיך בזה, צריך לפי דעתי, רצוי, שעוד בתי ספר יהיו שותפים למה שקורה בבית ספר ביאליק, ואני הייתי שמחה מאד אם בית ספר ביאליק היה מארח כל פעם איזה צוות ניהול של בתי ספר שבהם יש אוכלוסייה גדולה של ילדים כאלה."
ענת כוהנה-עורקבי,אנחנו מארחים הרבה מאד.
רינה יצחקי,אז כיוונתי לדעת רבים.
"היו""ר רן כהן","הגב' יצחקי, הייתי מבקש שתערך הפגישה הזאת ושתדווחו לנו, על מה שקורה."
עדנה אלטר,"כמה הערות. פרט לילדים, אני רוצה להגיד מההיכרות שלנו מי הם הילדים שנשארים. מה היא המציאות שלתוכה הם מצויים מעבר לחינוך. אז דברו פה קצת על המצוקה שזה ילדים שנמצאים באמת, אנחנו מדברים פה על קהילה שנמצאת בחרדה ואנשים שלא יוצאים מהבית, מעבר לעבודה, וילדים שהם באמת חוזרים הביתה ולא פותחים את הדלת ולא יודעים מי זה האדם הבא שיפתח את הדלת, והם לא יודעים שכשיחזרו מבית הספר האבא יהיה שם, וכשאבא שלהם הולך לעבודה יחזור, באמת מדובר פה במצוקה מאד קשה.

דבר השני הוא, שלצערי הרב חלק גדול מהילדים האלה הם ילדים ממשפחות חד הוריות. מה שקרה שבאמת לא עוצרים ילדים, אבל כן עוצרים בעלים, ויש הרבה מאד אמהות עם ילדים, וענת וכמי שמכיר יודע, שהיום בעיקר אנחנו מתמודדים עם אמהות חד הוריות. אז נכון שאנחנו פונים למינהלת ההגירה ויש לנו שיתוף פעולה,וכשאנשים מסכימים, ומביעים את רצונם לצאת, מבטיחים לארגן להם כרטיסי טיסה, אבל בחלק גדול מהמקרים גם אנשים לא ממהרים לעשות את זה, גם הם לא תמיד רוצים את זה, והדבר הנוסף שמאפיין את הילדים האלה שזה אחת הסיבות שאמהות כאלה לא יוצאות, זה שחלק מהם הם ילדים חולים, אני חייבת להגי בסוגריים זה לא קשור לנושא חינוך, עדיין לא נפתרה הבעיה של ילדים חולים שהיתה אמורה לקום איזו שהיא ועדה משותפת למשרד הבריאות ולמשרד הפנים שתחליט מה יעלה בגורלם של 80 ילדים כאלה, והיא עוד לא התכנסה וזה תיכף חוגג יום הולדת שנה. זה דבר אחד.

דבר שני, זה שבאמת יש פחות ילדים, אני אספתי פה לקראת הישיבה אבל זה לא אומר שזה הכל, יש פחות ילדים, ובאמת פורסם שגורשו 100,000 איש, אבל הילדים והמשפחות לא נעלמו. זאת אומרת, השנה יש 100 ילדים בגנים, טרום חובה וחובה, 100 ילדים רשומים במינהל החינוך העירוני. אבל, 100 ילדים שרשומים במינהל החינוך זה לא אומר שזה כל הילדים שיש מגילאי 3 עד 6, יש הרבה ילדים שבעבר היו במסגרות החינוך העירוניות, שעשינו הרבה מאמץ כדי שהם יצאו לשם וחוק חינוך חובה שחל עליהם אכן יבוא לידי ביטוי, אבל היום כמו שנאמר, משטרת ההגירה לא פועלת ישירות נגד משפחות, אבל ברגע שיש אוירה של אנשים מפוחדים, וברגע שאנשים חוששים לצאת מהבית אז הם מעדיפים כבר לא לשלוח את הילדים ויש הרבה ילדים בגילאי 3, 4, ו-5, שנמצאים במסגרות שהם לא מסגרות חינוך פורמלי.

הערה נוספת, היא בהמשך של ההיקף. כמו שאמרתי אז ההיקפים באמת צומצמו בצורה משמעותית, מבחינתנו, וזה בעצם גם רלוונטי, אנחנו כשרות רווחה שבעיקר מטפל בילדים מהמשפחות, מבחינתנו התמונה לא השתנתה, אלא להפך, נהיתה הרבה הרבה יותר גרועה. כי אני כל הזמן אומרת מינהלת ההגירה ניצחה. נכון, באמת גורשו 100,000 איש, אבל מה שקרה זה שמקהילה מתפקדת של אנשים בעלי כוחות, שהיו כולם מתפקדים ומסוגלים ולעזור לעצמם, מי שנשאר זה האנשים הנזקקים ביותר שאין להם יכולת לסייע לעצמם, ושאם בעבר הקהילה יכלה לסייע להם, היום כבר אין להם למי לפנות. - -"
